Gene stable ID	Gene name	GO term accession
ENSMUSG00000041578	Crx	GO:0001216
ENSMUSG00000041578	Crx	GO:0001228
ENSMUSG00000025225	Nfkb2	GO:0001228
ENSMUSG00000025225	Nfkb2	GO:0001228
ENSMUSG00000025225	Nfkb2	GO:0001228
ENSMUSG00000025225	Nfkb2	GO:0001228
ENSMUSG00000019900	Rfx6	GO:0001228
ENSMUSG00000019900	Rfx6	GO:0001228
ENSMUSG00000019900	Rfx6	GO:0001228
ENSMUSG00000060284	Sp7	GO:0001228
ENSMUSG00000001280	Sp1	GO:0001228
ENSMUSG00000001280	Sp1	GO:0001228
ENSMUSG00000001280	Sp1	GO:0001228
ENSMUSG00000021506	Pitx1	GO:0001228
ENSMUSG00000033006	Sox10	GO:0001216
ENSMUSG00000033006	Sox10	GO:0001216
ENSMUSG00000033006	Sox10	GO:0001216
ENSMUSG00000033006	Sox10	GO:0001216
ENSMUSG00000033006	Sox10	GO:0001216
ENSMUSG00000036615	Rfxap	GO:0001228
ENSMUSG00000036615	Rfxap	GO:0001228
ENSMUSG00000055435	Maf	GO:0001228
ENSMUSG00000055435	Maf	GO:0001228
ENSMUSG00000054360	Bsx	GO:0001228
ENSMUSG00000042258	Isl1	GO:0001228
ENSMUSG00000042258	Isl1	GO:0001228
ENSMUSG00000042258	Isl1	GO:0001228
ENSMUSG00000042258	Isl1	GO:0001228
ENSMUSG00000042258	Isl1	GO:0001228
ENSMUSG00000047388	Atmin	GO:0001228
ENSMUSG00000042622	Maff	GO:0001228
ENSMUSG00000042622	Maff	GO:0001228
ENSMUSG00000042622	Maff	GO:0001228
ENSMUSG00000042622	Maff	GO:0001228
ENSMUSG00000052435	Cebpe	GO:0001228
ENSMUSG00000052435	Cebpe	GO:0001228
ENSMUSG00000047002	Msgn1	GO:0001228
ENSMUSG00000038342	Mlxip	GO:0001228
ENSMUSG00000027794	Sohlh2	GO:0001228
ENSMUSG00000037169	Mycn	GO:0001228
ENSMUSG00000037169	Mycn	GO:0001228
ENSMUSG00000036192	Rorb	GO:0001228
ENSMUSG00000036192	Rorb	GO:0001228
